Question,Option-1,Image-1,Option-2,Image-2,Option-3,Image-3,FunFack,FunFack_url
What kind of movie are you looking for?,Action,img/textures/1/1.png,Comedy,img/textures/1/2.png,Drama,img/textures/1/3.png,"Women accounted for 31.2 percent of the leads in top films for 2016? (Source: <a href=""https://socialsciences.ucla.edu/wp-content/uploads/2018/02/UCLA-Hollywood-Diversity-Report-2018-2-27-18.pdf"" target=""_blank"" >UCLA Diversity Report</a>)",https://socialsciences.ucla.edu/wp-content/uploads/2018/02/UCLA-Hollywood-Diversity-Report-2018-2-27-18.pdf
And you want the lead to be...,Woman*,img/textures/2/1.png,Man*,img/textures/2/2.png,,,*inclusive of trans-identity and experience,https://socialsciences.ucla.edu/wp-content/uploads/2018/02/UCLA-Hollywood-Diversity-Report-2018-2-27-18.pdf
And to look like...,Latinx,img/textures/3/1.png,Asian,img/textures/3/2.png,Black,img/textures/3/3.png,"People of color accounted for 13.9 percent of the leads in top films for 2016? (Source: <a href=""https://socialsciences.ucla.edu/wp-content/uploads/2018/02/UCLA-Hollywood-Diversity-Report-2018-2-27-18.pdf"" target=""_blank"" >UCLA Diversity Report</a>)",https://socialsciences.ucla.edu/wp-content/uploads/2018/02/UCLA-Hollywood-Diversity-Report-2018-2-27-18.pdf
